Covered Vehicle,Vehicle ID (Ktype),Car Marker,Model,Version,From,To,Body Type,Drive Type,Litters,cc,Fuel type,kW,HP,Cylinders,Valves,Engine Type,Engine Code,Product Limitations,Carpark,# Products,Covered in Products
,225,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM1E),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,25,1,A: LuK RepSet DMF
,265,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM1E),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,25,1,A: LuK RepSet DMF
,305,RENAULT,MEGANE II Estate (KM0/1_),1.5 dCi (KM16),X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,25,1,A: LuK RepSet DMF
,345,RENAULT,SCÉNIC II (JM0/1_),1.5 dCi (JM16),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 728, K9K 734",None,25,1,A: LuK RepSet DMF
,385,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR0H, KR1S)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774",1) Transmission Code : TL4.002,25,1,A: LuK RepSet DMF
,425,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 105 (FW0F),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,None,25,1,A: LuK RepSet DMF
,465,RENAULT,MEGANE III Coupe (DZ0/1_),"1.5 dCi (DZ09, DZ0D, DZ1F, DZ1G, DZ14, DZ29)",X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 836, K9K 837, K9K 846",None,25,1,A: LuK RepSet DMF
,505,RENAULT,SCÉNIC III (JZ0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,25,1,A: LuK RepSet DMF
,545,RENAULT,FLUENCE (L3_),1.5 dCi (L30B),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,25,1,A: LuK RepSet DMF
,585,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi (DZ0B),X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,25,1,A: LuK RepSet DMF
,625,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi (KW0C, KW2C, KW4C)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 804,None,25,1,A: LuK RepSet DMF
,665,MERCEDES-BENZ,CITAN Mixto (Double Cabin) (W415),"111 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Dualiner | Mixto (Double Cabin),Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),None,25,1,A: LuK RepSet DMF
,705,NISSAN,"QASHQAI II (J11, J11_) | KICKS",1.5 dCi,X,Y,SUV | Wagon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646",1) Construction Year to : 201805,25,1,A: LuK RepSet DMF
,745,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW06, KW12)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648",None,25,1,A: LuK RepSet DMF
,785,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi,X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,25,1,A: LuK RepSet DMF
,825,RENAULT,MEGANE IV Hatchback (B9A/M/N_) | MEGANE III,1.5 dCi 110 (B9A3),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 648, K9K 656, K9K 657","1) TecDoc Engine Number : 32413, 2) TecDoc Engine Number : 32894, 3) Transmission Code : TL4",25,1,A: LuK RepSet DMF
,865,RENAULT,MEGANE IV Grandtour (K9A/M/N_),1.5 dCi 110,X,Y,Estate | Estate | Grandtour | Sport Tourer | Sporter,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 656, K9K 657","1) TecDoc Engine Number : 32894, 2) Transmission Code : TL4",25,1,A: LuK RepSet DMF
,905,RENAULT,DUSTER (HS_),"1.5 dCi (HSAE, HSAD, HSAF, HSJ7, HSMC, HSMD)",X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 856, K9K 858, K9K 898",1) Transmission Code : TL4,25,1,A: LuK RepSet DMF
,945,RENAULT,MEGANE II Estate Van (KM_),1.5 dCi (KM1E),X,Y,Estate Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,25,1,A: LuK RepSet DMF
,985,RENAULT,MEGANE III Combi Van (KZ0/1),1.5 dCi,X,Y,Estate Van | Combi Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 836, K9K 837",None,25,1,A: LuK RepSet DMF
,1025,RENAULT,MEGANE II Hatchback Van (KM0/2_),1.5 dCi,X,Y,Hatchback Van | Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,25,1,A: LuK RepSet DMF
,1065,NISSAN,QASHQAI I VAN (J10) | DUALIS,1.5 dCi,X,Y,SUV Van | VAN,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K,None,25,1,A: LuK RepSet DMF
,1105,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi (FW0C, FW1C)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 804,None,25,1,A: LuK RepSet DMF
,1145,NISSAN,QASHQAI +2 VAN (JJ10E) | DUALIS,1.5 dCi,X,Y,SUV Van | VAN,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K,None,25,1,A: LuK RepSet DMF
,1185,DACIA,DUSTER (HM_),1.5 dCi 115 (HMAD),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,"K9K 872, K9K 876 (10.20-.)",None,25,1,A: LuK RepSet DMF
,1225,MERCEDES-BENZ,CITAN MPV (W415),108 CDI (415.703),X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,59,80,4,2,Diesel,OM 608.915 (K9K),None,25,1,A: LuK RepSet DMF
,1265,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),1.5 dCi 115 (KW17),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,115,4,2,Diesel,K9K 872,1) Transmission Code : TL4,25,1,A: LuK RepSet DMF
,1305,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),1.5 dCi 95 (KW16),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 872,1) Transmission Code : TL4,25,1,A: LuK RepSet DMF
,1345,NISSAN,NV250 Van (X61),dCi 80,X,Y,Van,Front-Wheel Drive,1.5,"1,461",DIESEL,59,80,4,2,Diesel,K9K 872,None,25,1,A: LuK RepSet DMF
,1385,NISSAN,NV250 Bus (X61),dCi 95,X,Y,Bus,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 872,None,25,1,A: LuK RepSet DMF
,1425,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 80 (FW15),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,59,80,4,2,Diesel,K9K 872,1) Transmission Code : TL4,25,1,A: LuK RepSet DMF
,1465,RENAULT,EXPRESS Box Body/MPV,1.5 Blue dCi 95 (F6AB),X,Y,Box Body/MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,"K9K 872, K9K 876",None,25,1,A: LuK RepSet DMF
,1505,RENAULT,KANGOO III Box Body/MPV,1.5 Blue dCi 115 (FJAC),X,Y,Box Body/MPV | RAPID,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,"K9K 876, K9K 877","1) TecDoc Engine Number : 45124, 2) Transmission Code : TL4",25,1,A: LuK RepSet DMF
,1545,MERCEDES-BENZ,CITAN Box Body/MPV (W420),"1.5 112 CDI (420.633, 420.635)",X,Y,Box Body/MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,OM 608.915 (K9K),None,25,1,A: LuK RepSet DMF
,1585,RENAULT,KANGOO III MPV,Blue dCi 115 (KJAC),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,"K9K 876, K9K 877","1) TecDoc Engine Number : 45124, 2) Transmission Code : TL4",25,1,A: LuK RepSet DMF
,1625,DACIA,BIGSTER,1.5 dCi 115,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,115,4,2,Diesel,K9K 876,None,25,1,A: LuK RepSet DMF
,1665,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)",1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,25,1,B: DMF Module plus CSC
,1705,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ09, JZ0D, JZ10, JZ14, JZ1G, JZ29, JZ2C)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837","1) TecDoc Engine Number : 23743, 2) TecDoc Engine Number : 26246, 3) TecDoc Engine Number : 28220, 4) TecDoc Engine Number : 32895, 5) TecDoc Engine Number : 32894",25,1,B: DMF Module plus CSC
,1745,RENAULT,KANGOO BE BOP (KW0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,110,4,2,Diesel,K9K 804,"1) TecDoc Engine Number : 20831, 2) Engine Code : K9K 816",25,1,B: DMF Module plus CSC
,1785,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW0C, FW0H)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 804, K9K 816",None,25,1,B: DMF Module plus CSC
,1825,RENAULT,SCÉNIC II (JM0/1_),"1.5 dCi (JM1E, JM16)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 732, K9K 734",None,25,1,B: DMF Module plus CSC
,1865,RENAULT,"CLIO III (BR0/1, CR0/1) | CLIO CAMPUS | LUTECIA","1.5 dCi (BR0H, CR0H, CR1S, BR1S)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774",1) TecDoc Engine Number : 18538,25,1,B: DMF Module plus CSC
,1905,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM16),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,25,1,B: DMF Module plus CSC
,1945,RENAULT,LAGUNA III Grandtour (KT0/1),"1.5 dCi (KT0A, KT0R, KT02)",X,Y,Estate | Grandtour | Sport Tourer | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 780, K9K 782, K9K 846",1) Transmission Type : Manual Transmission,25,1,B: DMF Module plus CSC
,1985,NISSAN,TIIDA Hatchback (C11) | LATIO,1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 278",None,25,1,B: DMF Module plus CSC
,2025,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)","1.5 dCi (BZ09, BZ0D, BZ1W, BZ29, BZ14)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837, K9K 846",None,25,1,B: DMF Module plus CSC
,2065,RENAULT,MEGANE III Grandtour (KZ0/1) | GRAN TOUR,"1.5 dCi (KZ09, KZ0D, KZ1G, KZ29, KZ14, KZ1W, KZ10, KZ1F,...",X,Y,Estate | Grandtour,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837, K9K 846",None,25,1,B: DMF Module plus CSC
,2105,NISSAN,CUBE (Z12),1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 270",None,25,1,B: DMF Module plus CSC
,2145,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi (DZ0B),X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,25,1,B: DMF Module plus CSC
,2185,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi (KW0C, KW2C, KW4C)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 804,None,25,1,B: DMF Module plus CSC
,2225,MERCEDES-BENZ,CITAN Box Body/MPV (W415),"111 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Panel Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),None,25,1,B: DMF Module plus CSC
,2265,RENAULT,MEGANE III Grandtour (KZ0/1) | GRAN TOUR,"1.5 dCi (KZ1G, KZ1W, KZ0R)",X,Y,Estate | Grandtour,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,25,1,B: DMF Module plus CSC
,2305,RENAULT,FLUENCE (L3_),1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 826,None,25,1,B: DMF Module plus CSC
,2345,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi,X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,25,1,B: DMF Module plus CSC
,2385,DACIA,DUSTER SUV Van (HS_),1.5 dCi,X,Y,SUV Van,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 892,None,25,1,B: DMF Module plus CSC
,2425,RENAULT,DUSTER (HS_),1.5 dCi 4x4 (HSMC),X,Y,SUV,All-wheel Drive | 4x4,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 896,"1) Transmission Code : TL4 043, 2) Transmission Type : 6-Speed Manual Transmission",25,1,B: DMF Module plus CSC
,2465,RENAULT,DUSTER (HS_),"1.5 dCi (HSAE, HSAD, HSAF, HSJ7, HSMC, HSMD)",X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 856, K9K 858, K9K 898",1) Transmission Type : 6-Speed Manual Transmission,25,1,B: DMF Module plus CSC
,2505,RENAULT,MEGANE IV Saloon (LVA/M/N),1.5 dCi 110,X,Y,Saloon | Grand Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 656, K9K 657, K9K 674, K9K 675, K9K 676, K9K 677","1) TecDoc Engine Number : 32895, 2) TecDoc Engine Number : 38613, 3) TecDoc Engine Number : 38615, 4) Transmission Type : 6-Speed Manual Transmission, 5) Transmission ID : TL4 086",25,1,B: DMF Module plus CSC
,2545,RENAULT,DUSTER (HM_),1.5 dCi 110 (HMAB),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 656, K9K 658, K9K 667, K9K 678, K9K 858",1) Transmission Type : 6-Speed Manual Transmission,25,1,B: DMF Module plus CSC
,2585,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)",1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2625,RENAULT,SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,"1) TecDoc Engine Number : 24579, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.054",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2665,NISSAN,NV200 / EVALIA Bus,"1.5 dCi 90 (M20, M20M)",X,Y,Bus,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 892,"1) TecDoc Engine Number : 31620, 2) Transmission Type : Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2705,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW0C, FW0H)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 804, K9K 816","1) TecDoc Engine Number : 20831, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2745,RENAULT,SCÉNIC II (JM0/1_),"1.5 dCi (JM1E, JM16)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 732, K9K 734","1) TecDoc Engine Number : 20829, 2) Transmission Type : Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2785,RENAULT,"CLIO III (BR0/1, CR0/1) | CLIO CAMPUS | LUTECIA","1.5 dCi (BR0H, CR0H, CR1S, BR1S)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774","1) TecDoc Engine Number : 18538, 2) TecDoc Engine Number : 31279, 3) Transmission Type : 6-Speed Manual Transmission, 4) Transmission Code : TL4.002",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2825,RENAULT,MODUS / GRAND MODUS (F/JP0_),1.5 dCi (JP02),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,"1) TecDoc Engine Number : 23549, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.002, 4) Construction Year to : 200902",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2865,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM16),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,"1) TecDoc Engine Number : 22192, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.001, 4) Transmission Code : TL4.014, 5) Transmission Code : TL4.016",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2905,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR1C, KR1N)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,"1) TecDoc Engine Number : 23549, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.002",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2945,NISSAN,TIIDA Saloon (SC11) | TIIDA LATIO | LATIO,1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 278","1) TecDoc Engine Number : 33676, 2) Transmission Type : Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2985,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)","1.5 dCi (BZ09, BZ0D, BZ1W, BZ29, BZ14)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837, K9K 846","1) TecDoc Engine Number : 28220, 2) TecDoc Engine Number : 32894, 3) TecDoc Engine Number : 23743, 4) TecDoc Engine Number : 24579, 5) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3025,RENAULT,MEGANE III Grandtour (KZ0/1) | GRAN TOUR,"1.5 dCi (KZ09, KZ0D, KZ1G, KZ29, KZ14, KZ1W, KZ10, KZ1F,...",X,Y,Estate | Grandtour,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837, K9K 846","1) TecDoc Engine Number : 28220, 2) TecDoc Engine Number : 23743, 3) TecDoc Engine Number : 24579, 4) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3065,NISSAN,CUBE (Z12),1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 270","1) TecDoc Engine Number : 32710, 2) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3105,NISSAN,JUKE (F15),1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 410, K9K 636, K9K 646, K9K 896","1) TecDoc Engine Number : 29420, 2) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3145,DACIA,LODGY (JS_),"1.5 dCi (JSMC, JSAF)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 846, K9K 856","1) TecDoc Engine Number : 31425, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4, 4) Construction Year to : 201509",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3185,MERCEDES-BENZ,CITAN Box Body/MPV (W415),"111 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Panel Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),"1) TecDoc Engine Number : 26816, 2) Transmission Type : Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3225,RENAULT,MEGANE III Grandtour (KZ0/1) | GRAN TOUR,"1.5 dCi (KZ1G, KZ1W, KZ0R)",X,Y,Estate | Grandtour,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,"1) TecDoc Engine Number : 24579, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3265,RENAULT,FLUENCE (L3_),1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 826,"1) TecDoc Engine Number : 29780, 2) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3305,RENAULT,"CAPTUR I (J5_, H5_)",1.5 dCi 110,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 856","1) TecDoc Engine Number : 32413, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3345,RENAULT,MEGANE IV Hatchback (B9A/M/N_) | MEGANE III,1.5 dCi 90 (B9A1),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,"1) TecDoc Engine Number : 32894, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.022",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3385,RENAULT,MEGANE IV Grandtour (K9A/M/N_),1.5 dCi 90,X,Y,Estate | Estate | Grandtour | Sport Tourer | Sporter,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,"1) TecDoc Engine Number : 32894, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.022",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3425,DACIA,LODGY (JS_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 666, K9K 846","1) TecDoc Engine Number : 31425, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4, 4) Construction Year to : 201509",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3465,DACIA,DUSTER (HM_),1.5 dCi 90 (HMAA),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,"1) TecDoc Engine Number : 35726, 2) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3505,RENAULT,MEGANE II Hatchback Van (KM0/2_),1.5 dCi,X,Y,Hatchback Van | Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,"1) TecDoc Engine Number : 22192, 2) Transmission Type : 6-Speed Manual Transmission",25,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,35,RENAULT,GRAND SCÉNIC IV (R9_),1.5 dCi 110 (R9A3),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 647, K9K 649",1) TecDoc Engine Number : 32413,15,1,A: LuK DMF
,75,RENAULT,MEGANE III Grandtour (KZ0/1) | GRAN TOUR,"1.5 dCi (KZ1M, KZ1W, KZ0R)",X,Y,Estate | Grandtour,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 832, K9K 836, K9K 846",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,115,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ09, JZ0D, JZ10, JZ14, JZ1G, JZ29, JZ2C)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,155,RENAULT,KANGOO BE BOP (KW0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,110,4,2,Diesel,K9K 804,None,15,1,A: LuK RepSet DMF
,195,RENAULT,MODUS / GRAND MODUS (F/JP0_),"1.5 dCi (FP0F, JP0F)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,63,86,4,2,Diesel,"K9K 760, K9K 766, K9K 772",1) TecDoc Engine Number : 23549,15,1,A: LuK RepSet DMF
,235,RENAULT,MEGANE II Estate (KM0/1_),"1.5 dCi (KM16, KM1E)",X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,15,1,A: LuK RepSet DMF
